old_value,new_value,slug_id
Business premises,Corporate & Commercial,133b5e16-dd31-49da-a6a7-189da5e729a3
Company and commercial,Corporate & Commercial,133b5e16-dd31-49da-a6a7-189da5e729a3
Consumer and civil rights,Consumer & Civil Rights,6feb34f7-8634-4171-afb8-289a0d7c1794
Crime,Criminal Justice,2dce614a-4a47-447d-8424-67cc01d9dd13
Dispute resolution,Consumer & Civil Rights,6feb34f7-8634-4171-afb8-289a0d7c1794
Employment,Employment,1349304d-6677-48d2-955a-fb0f9d724eac
"Energy, utilities and transport","Energy, Environment & Infrastructure",5f63284b-bc64-40e4-a1da-effe8d8a4570
Family and relationships,Family,154c5d93-29eb-4faf-ad8f-b6cdb0f16ee7
"Houses, property and neighbours",Property & Neighbours,051dfadc-e4d6-4072-9511-bfd4cfb9b1de
Immigration,Immigration,057dccf1-75d3-465e-b237-89a7d98a2990
"Media, IT and intellectual property",Corporate & Commercial,133b5e16-dd31-49da-a6a7-189da5e729a3
Money and debt,Finance & Insolvency,7b5f3f96-ebbc-4468-9723-a43bb5256bb4
Regulation and compliance,Administrative & Public Law,45bc761e-538b-427d-9fab-ddaade6c6a93
Social welfare health benefits,Administrative & Public Law,45bc761e-538b-427d-9fab-ddaade6c6a93
Wills,Family,154c5d93-29eb-4faf-ad8f-b6cdb0f16ee7
